Boat,Category,Club,Courses_Nat,Division,Name,Num_Courses,Points,Points_Club,Rank,Scratch,Year
C1H,S,Canoe Kayak Pontarlier,"
			2002		"
K1D,S,U.s.m. Saran Canoe Kayak,"
			3		",niveau,Lucie Baudu,"
			4		","
			77.19		",972,"
			38		","
			9		","
			1993		"
K1D,S,Eyrieux Canoe Kayak,"
			3		",niveau,Angele Hug,"
			4		","
			77.54		",968,"
			39		","
			10		","
			2000		"
C1H,S,Canoe Kayak Toulousain,"
			3		",niveau,Lucas Roisin,"
			4		","
			77.89		",983,"
			40		","
			8		","
			1997		"
K1H,S,V.p.a. Pont D'arc,"
			3		",niveau,Gino Benini,"
			4		","
			79.33		",980,"
			41		","
			19		","
			2003		"
C1H,S,Club De Canoe-kayak Des Ecrins,"
			3		",niveau,Tanguy Adisson,"
			4		","
			79.52		",981,"
			42		","
			9		","
			2003		"
C1H,V1,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Pierre Antoine Tillard,"
			4		","
			81.34		",978,"
			43		","
			10		","
			1986		"
K1H,S,Alck Bagneres De Bigorre,"
			3		",niveau,Mael Bernes,"
			4		","
			81.72		",979,"
			44		","
			20		","
			2003		"
K1H,S,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Tom Bouchardon,"
			4		","
			82.55		",978,"
			45		","
			21		","
			2002		"
K1H,S,Orthez Nautique C.k.,"
			3		",niveau,Joris Hello,"
			4		","
			83.21		",977,"
			46		","
			22		","
			2002		"
C1H,S,Ck De Quimper Cornouaille,"
			3		",niveau,Jean Pierre Bourhis,"
			4		","
			85.88		",976,"
			47		","
			11		","
			1995		"
C1H,J,Lannion Canoe Kayak,"
			3		",niveau,Martin Cornu,"
			4		","
			87.09		",1033,"
			48		","
			12		","
			2006		"
K1H,S,Ur Tipula,"
			3		",niveau,Edgar Paleaubrasseur,"
			4		","
			90.19		",975,"
			49		","
			23		","
			2005		"
K1H,J,Cesson Sevigne Canoe Kayak Les Poissons Volants,"
			3		",niveau,Elouan Debliquy,"
			4		","
			93.14		",1034,"
			50		","
			24		","
			2006		"
K1H,S,Eyrieux Canoe Kayak,"
			3		",niveau,Mael Hervault,"
			4		","
			93.53		",973,"
			51		","
			25		","
			2003		"
K1H,V1,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Thomas Bersinger,"
			4		","
			95.29		",972,"
			52		","
			26		","
			1985		"
C1H,S,Canoe Kayak Du Pays De Broceliande,"
			3		",niveau,Glen Le Meur,"
			4		","
			96.12		",971,"
			53		","
			13		","
			2002		"
C1H,V1,Marseille Mazargues Canoe Kayak,"
			3		",niveau,Denis Gargaud,"
			4		","
			96.79		",969,"
			54		","
			14		","
			1987		"
K1H,S,Club Nautique De La Platiere,"
			3		",niveau,Pierre Grapotte,"
			4		","
			98.53		",971,"
			55		","
			27		","
			2000		"
K1H,S,F.l.canoe Kayak Chalonnes,"
			3		",niveau,Maxence Davy,"
			4		","
			99.84		",970,"
			56		","
			28		","
			2004		"
K1H,S,Canoe Kayak Club Sabolien,"
			3		",niveau,Florian Busson,"
			4		","
			100.33		",969,"
			57		","
			29		","
			2001		"
K1H,S,Angouleme Canoe Kayak,"
			3		",niveau,Theo Desvignes,"
			4		","
			102.26		",968,"
			58		","
			30		","
			1998		"
K1H,S,Canoe Kayak Toulousain,"
			3		",niveau,Cyprien Cail,"
			4		","
			102.47		",967,"
			59		","
			31		","
			2003		"
K1H,J,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Titouan Estanguet,"
			4		","
			102.7		",1025,"
			60		","
			32		","
			2007		"
C1H,S,Cadpa Huningue,"
			3		",niveau,Liam Jegou,"
			4		","
			102.83		",966,"
			61		","
			15		","
			1996		"
K1D,S,Golbey Epinal St Nabord,"
			3		",niveau,Ilona Martin-laemle,"
			4		","
			103.39		",965,"
			62		","
			11		","
			2003		"
C1D,S,Canoe Kayak Toulousain,"
			3		",niveau,Laurene Roisin,"
			4		","
			106.85		",974,"
			63		","
			5		","
			2001		"
K1H,S,Etoile Amou Canoe Kayak,"
			3		",niveau,Emilien Courtiade,"
			4		","
			107.57		",964,"
			64		","
			33		","
			2004		"
K1H,V1,Ckc Vallee De L'ain,"
			3		",niveau,Etienne Daille,"
			4		","
			108.51		",963,"
			65		","
			34		","
			1989		"
K1D,V1,Ckc Vallee De L'ain,"
